Country,EdLevel,YearsCode,Employment,ConvertedComp
151,0,13,0,116000
149,2,4,0,32315
149,0,2,0,40070
131,1,7,0,14268
99,1,20,0,38916
151,1,1,0,66000
149,0,23,2,108576
151,0,3,0,79000
151,0,12,0,1260000
151,0,3,0,83400
50,3,20,0,91883
28,0,10,0,71093
149,0,2,0,38778
28,0,10,0,31764
15,0,14,0,63564
149,1,3,0,77556
69,0,12,0,97288
151,2,20,0,106000
151,0,10,0,130000
151,2,29,0,135000
22,2,6,0,55893
48,2,2,0,36753
48,2,4,0,37834
149,3,28,0,74970
151,0,8,0,125000
151,0,4,0,52000
28,1,7,0,103615
149,0,6,0,90482
151,0,23,0,160000
151,2,23,0,1620000
22,0,15,0,16488
149,1,13,0,94359
151,0,14,0,1176000
151,3,15,0,250000
48,2,3,0,594539
149,0,11,2,124092
151,0,7,0,94500
151,1,25,0,117000
112,1,0.5,0,3036
48,0,3,2,108100
151,0,2,0,130000
63,1,2,0,61476
48,0,10,0,57292
52,3,15,0,21620
28,1,2,0,37816
28,1,25,0,71850
68,0,2,1,35028
28,0,4,0,75631
36,2,5,0,41568
28,0,9,0,79413
151,1,11,0,93000
151,0,0.5,0,40000
50,3,3,0,46044
151,0,5,0,148000
151,2,21,0,130000
151,2,3,0,65000
151,0,2,0,78800
149,2,8,0,116333
151,0,16,0,145000
50,1,6,0,61616
151,0,5,0,145000
149,0,5,0,109871
151,0,3,0,2000000
151,0,19,2,0
151,3,11,0,2000000
151,0,4,0,145000
151,1,4,0,80000
151,0,2,0,115000
151,0,3,0,115000
131,1,4,2,15564
24,1,5,0,24864
149,2,10,2,210050
50,1,35,2,129718
151,0,2,0,215000
151,0,8,0,45000
151,1,1,0,53000
151,1,5,0,97500
151,0,10,0,75000
149,1,3,0,32315
135,0,12,2,59320
28,0,3,0,37816
50,0,6,0,54480
62,0,3,0,293196
151,0,12,0,300000
147,0,8,0,9792
136,2,6,0,121980
151,0,3,0,90000
151,2,25,0,150000
151,1,12,0,80000
151,0,5,0,125000
28,1,4,0,64287
151,0,18,0,170000
151,0,6,0,112000
151,2,11,0,141000
99,0,4,0,36324
28,1,12,2,100000
151,0,14,0,80000
50,3,6,0,48644
28,3,5,0,41597
151,3,2,0,300000
151,0,2,0,130000
60,1,8,0,29628
28,0,24,2,60505
151,0,2,0,70000
99,1,3,1,41100
151,0,6,0,80000
50,0,7,0,34591
50,0,7,0,59454
151,0,3,0,115000
127,1,2,2,28536
28,3,18,0,94539
48,2,3,0,52968
151,2,7,0,2000000
151,2,8,0,83450
151,2,3,0,1920000
99,1,14,0,129718
151,0,32,0,105000
151,0,1,0,90000
151,0,28,0,208000
151,0,15,0,160000
151,3,9,0,90000
117,0,10,0,27240
69,1,35,2,21620
151,0,15,0,144000
151,0,5,0,80000
50,0,10,0,81074
151,0,19,0,160000
151,0,12,0,170000
48,2,4,0,41077
151,0,2,0,99600
28,0,4,0,87732
28,1,2,0,113447
48,2,1,0,28152
48,2,2,0,48644
151,0,2,0,65000
113,2,20,0,58368
149,1,3,0,44595
62,0,2,0,11728
151,0,0.5,0,80000
151,0,6,0,140000
151,2,22,0,120000
151,0,11,0,100000
113,2,15,0,54049
